"","Feature","LASSO","Ridge","TrainingSD"
"1","(Intercept)",-364048.311925391,24017.8476270195,0
"2","MS.SubClass30",4200.3132883476,2858.0474662707,0.213435811986554
"3","MS.SubClass40",0,-428.622984386613,0.0461657830305829
"4","MS.SubClass45",3237.85744729291,2032.85308157748,0.0823892774832019
"5","MS.SubClass50",1345.63979136658,2001.81746008729,0.29416624366316
"6","MS.SubClass60",0,2452.00351421502,0.395398274001604
"7","MS.SubClass70",2634.57963316459,4423.35737208285,0.199296599030117
"8","MS.SubClass75",987.744913411519,9636.88802043072,0.0873494474703504
"9","MS.SubClass80",-105.977941484884,-4320.3557157981,0.194308151619113
"10","MS.SubClass85",-9.39258094561156,-2531.07164326606,0.131176514024673
"11","MS.SubClass90",-8687.94770190621,-7664.86511713477,0.185997651061959
"12","MS.SubClass120",-21065.8102927101,-13935.4006012695,0.245649288291173
"13","MS.SubClass150",-49661.9022214246,-45265.1445117582,0.020663627041098
"14","MS.SubClass160",-19647.7573023746,-11233.4330542703,0.204140861319344
"15","MS.SubClass180",-9099.35926184948,-5457.66415350672,0.0714125319414717
"16","MS.SubClass190",-10751.574873852,-8431.87539102918,0.147375489560693
"17","MS.Zoningother",-2984.66041241738,-2858.29816443905,0.37789697605945
"18","MS.ZoningRL",0,651.063433423375,0.412227888292721
"19","Lot.Frontage",49.8330221874402,69.0922567590307,20.714357428617
"20","Lot.Area",0.469946501207902,0.469306459414856,7673.39480527692
"21","StreetPave",11928.3935456693,13971.0797635877,0.0618848684230185
"22","Lot.Shape",0,613.940732351056,0.569972658123378
"23","Land.ContourHLS",11093.9353206667,10233.7721585898,0.199296599030117
"24","Land.ContourLow",-6294.33008540213,-8086.32732131589,0.134279452309842
"25","Land.ContourLvl",-1580.94029289145,-2359.07356541309,0.299950147445925
"26","Lot.Configother",-1172.04036028158,-1382.93549672138,0.443312372196494
"27","Land.Slope",177.780381172429,1262.86715214127,0.250590306796255
"28","NeighborhoodBlueste",11918.0794494569,11377.7385079319,0.0583581165644815
"29","NeighborhoodBrDale",21293.7196965145,17635.4260755734,0.0964853064676126
"30","NeighborhoodBrkSide",4749.71487035102,1347.42105100471,0.187060068988745
"31","NeighborhoodClearCr",4250.52972045831,2537.94411447508,0.116114599054534
"32","NeighborhoodCollgCr",-3147.82079551827,-6290.10470935009,0.290011474838792
"33","NeighborhoodCrawfor",11961.966312518,9002.07057790542,0.184928143347879
"34","NeighborhoodEdwards",-2480.92928084779,-6099.11272283714,0.252344133229733
"35","NeighborhoodGilbert",-4611.66616557954,-9526.54394968824,0.232304584963224
"36","NeighborhoodGreens",6486.20180929982,8367.24324620987,0.0583581165644815
"37","NeighborhoodGrnHill",108222.665628533,105784.634895867,0.0292165394258642
"38","NeighborhoodIDOTRR",-678.073510715553,-4243.41759773777,0.167940535753928
"39","NeighborhoodLandmrk",10155.5881425807,9622.99645849567,0.020663627041098
"40","NeighborhoodMeadowV",1184.03708315329,-1496.86791160642,0.106773438180681
"41","NeighborhoodMitchel",-1540.88583683511,-5004.7448804201,0.191241194198493
"42","NeighborhoodNAmes",-716.056083686857,-4461.67964280632,0.353638308704271
"43","NeighborhoodNoRidge",21677.6333592388,20980.056871466,0.144576649717864
"44","NeighborhoodNPkVill",20942.3987022302,16953.0238656657,0.0823892774832019
"45","NeighborhoodNridgHt",30963.3790916755,26432.4785690766,0.235532686704757
"46","NeighborhoodNWAmes",-4201.08532503779,-7105.83918641785,0.212528473223902
"47","NeighborhoodOldTown",-2873.29712813576,-6492.66719116047,0.278260033721423
"48","NeighborhoodSawyer",4529.79659479498,925.978902083184,0.224824533447371
"49","NeighborhoodSawyerW",-3922.32207423694,-6790.59064324696,0.2079192404734
"50","NeighborhoodSomerst",7352.98352155123,5137.19409589597,0.233925763712715
"51","NeighborhoodStoneBr",35561.5621699294,32858.6502686775,0.129595076711024
"52","NeighborhoodSWISU",-2001.1248588444,-5838.29188928291,0.131176514024673
"53","NeighborhoodTimber",-2413.0637906972,-6216.46453190815,0.158029910090263
"54","NeighborhoodVeenker",-6693.23292973205,-7091.61502155139,0.0873494474703504
"55","Condition.1other",-6833.56059691921,-6766.15150645668,0.347114297732718
"56","Condition.2other",1110.277346737,2552.35515540647,0.0986325224732301
"57","Bldg.Type2fmCon",0,-3538.92529733814,0.14875332392795
"58","Bldg.TypeDuplex",-4732.67528542357,-7536.29869093617,0.185997651061959
"59","Bldg.TypeTwnhs",-9274.5685024854,-14172.6556184097,0.185997651061959
"60","Bldg.TypeTwnhsE",0,-6156.74500005885,0.265060173040381
"61","House.Style1.5Unf",1575.96855788617,1700.03233781733,0.0823892774832019
"62","House.Style1Story",3088.16132720896,1071.73011076906,0.499953396037905
"63","House.Style2.5Fin",-13738.0297681662,-16208.7228237233,0.0461657830305829
"64","House.Style2.5Unf",0,-3556.86766090052,0.0942872708794877
"65","House.Style2Story",0,-131.024892166782,0.454805975174529
"66","House.StyleSFoyer",-892.750786633929,-1325.43509142521,0.167940535753928
"67","House.StyleSLvl",0,1952.34299498547,0.202219788539606
"68","Overall.Qual",7878.61069570183,6913.62453598758,1.3985367494621
"69","Overall.Cond",5356.51745044502,4731.07239946288,1.10858080588606
"70","Year.Built",267.202562064515,151.753112644969,30.2484772484999
"71","Year.Remod.Add",38.0276338754778,63.6955489060058,20.9902389231498
"72","Roof.StyleHip",5633.11409738118,6350.48405822231,0.389667384309448
"73","Roof.Styleother",-7413.26283138132,-6232.87810759886,0.131176514024673
"74","Roof.Matlother",-510.655965855475,-340.353215368251,0.112476136470893
"75","Exterior.1stother",6892.19319998916,5498.25249673636,0.493894365613487
"76","Exterior.1stPlywood",0,387.378069346275,0.262307139161384
"77","Exterior.1stVinylSd",0,-2569.98990078299,0.475748842009307
"78","Exterior.2ndHdBoard",-2813.16723480371,-4475.0615133343,0.353638308704271
"79","Exterior.2ndMetalSd",-3487.6727337803,-3412.99114559661,0.357022047266897
"80","Exterior.2ndother",-2407.24837030239,-3018.63015021946,0.288807736421164
"81","Exterior.2ndPlywood",-4898.6697422323,-6300.00375892954,0.290011474838792
"82","Exterior.2ndVinylSd",871.548572546414,1927.19443552883,0.474486024426166
"83","Exterior.2ndWd.Sdng",-5970.7182289584,-6336.43900710622,0.339422793931799
"84","Mas.Vnr.TypeNone",6364.40956471428,5575.51530364264,0.48993270629515
"85","Mas.Vnr.Typeother",5199.447060394,5297.36229712999,0.307217773993007
"86","Mas.Vnr.Area",27.3090771737998,27.7086220740238,171.676198603878
"87","Exter.Qual",5879.58443672521,6419.39294242837,0.572094187444571
"88","Exter.CondFa",-3156.00825554007,-5269.58856147511,0.144576649717864
"89","Exter.CondGd",-1087.87764919909,-1987.66620919146,0.295919757379595
"90","Exter.CondPo",0,-5647.15750941556,0.0292165394258642
"91","Exter.CondTA",0,-477.439511387379,0.329453044274918
"92","FoundationCBlock",0,176.133080454417,0.494682558427213
"93","Foundationother",1932.53712395119,4504.33096395438,0.152805143941257
"94","FoundationPConc",1333.42852709673,2271.0986825324,0.496722481501625
"95","Bsmt.Qual",4118.41543372293,4367.74707938087,0.903742672114619
"96","Bsmt.Cond",-332.026464777324,-1003.87000796423,0.580151392693774
"97","Bsmt.Exposure",4737.14889229617,4619.65499584729,1.07762716856012
"98","BsmtFin.Type.1ALQ",-288.476998891226,-1566.23937408624,0.353210738407611
"99","BsmtFin.Type.1BLQ",0,-1285.95964788475,0.291207732218376
"100","BsmtFin.Type.1GLQ",1172.04845079957,1459.04074440239,0.454217873742929
"101","BsmtFin.Type.1LwQ",-1893.75882279812,-3169.20947887329,0.226513751844834
"102","BsmtFin.Type.1No.Basement",0,14085.8086736168,0.163069483128939
"103","BsmtFin.Type.1Rec",-2065.9540664814,-3188.93890372949,0.301651903989705
"104","BsmtFin.Type.1Unf",1992.93193195475,446.586220910227,0.452225796981099
"105","BsmtFin.SF.1",22.8426234031646,18.0414792189557,437.390657300462
"106","BsmtFin.Type.2Unf",2709.78337289939,2582.83558584585,0.355338312204925
"107","BsmtFin.SF.2",20.9263697024476,17.1941686266892,167.389300031775
"108","Bsmt.Unf.SF",0,-2.57152452446875,433.550035936664
"109","Total.Bsmt.SF",18.1267004762799,19.8534581339096,416.016555108246
"110","Heatingother",-7718.72445110376,-7552.4240613575,0.12636851543397
"111","Heating.QC",997.761255445786,1215.57305575031,0.959562872356191
"112","Central.AirY",-5091.63519059104,-4292.30157466827,0.250138991556642
"113","ElectricalSBrkr",-1325.85646271085,-1768.92686231933,0.281422786595192
"114","X1st.Flr.SF",0,21.9478152579106,374.818874792446
"115","X2nd.Flr.SF",0,15.9385437493994,423.453984976693
"116","Low.Qual.Fin.SF",-13.4175312509644,1.64700907174724,46.5269850265082
"117","Gr.Liv.Area",56.6262229945337,25.9893653585158,480.350430183431
"118","Bsmt.Full.Bath",1204.1951508995,2430.30984121509,0.526785699076973
"119","Bsmt.Half.Bath",-446.837975760974,-755.769192409157,0.249538891895579
"120","Full.Bath",2537.66926783902,4861.52911666291,0.54799978081238
"121","Half.Bath",3184.27217785011,4911.39953313866,0.500886472125134
"122","Bedroom.AbvGr",-5574.04999217121,-4099.10205395019,0.817249344974354
"123","Kitchen.AbvGr",-11126.383075174,-9219.23022962319,0.21049984772633
"124","Kitchen.Qual",6146.16961600125,6690.05709596082,0.656676731928718
"125","TotRms.AbvGrd",1592.05336247712,2391.63257052142,1.53263132051393
"126","FunctionalTyp",14441.8536310006,13413.4641904067,0.256678408188958
"127","Fireplaces",4268.52504532557,4549.74806121199,0.645309315293536
"128","Fireplace.Qu",0,708.856074617109,1.80074486249113
"129","Garage.TypeAttchd",0,355.286685236552,0.491282983844694
"130","Garage.TypeBasment",-2674.58659007618,-4638.18186444252,0.112476136470893
"131","Garage.TypeBuiltIn",6596.07409460592,8935.48790566276,0.241048746473068
"132","Garage.TypeCarPort",-4539.9300527148,-7025.90958325521,0.074312567801254
"133","Garage.TypeDetchd",2016.72262868784,1989.74504720524,0.441284086300985
"134","Garage.TypeNo.Garage",1248.12901163109,3197.1286297167,0.224824533447371
"135","Garage.Yr.Blt",17.4328669977207,44.4941265463857,24.8709355028752
"136","Garage.Finish",0,491.942452198699,0.894947798241693
"137","Garage.Cars",3055.0752859186,3457.4704506619,0.761933984631688
"138","Garage.Area",17.9508352081163,20.1475841110974,213.985119872504
"139","Garage.Qual",0,-63.5268689580875,0.713295905810587
"140","Garage.CondEx",0,1119.70638645307,0.0357751601056997
"141","Garage.CondFa",0,-585.483316944639,0.155441827790819
"142","Garage.CondGd",-1898.85780502086,-2510.70813430396,0.0683869645064274
"143","Garage.CondNo.Garage",0,3023.94241032734,0.225671127310978
"144","Garage.CondPo",1821.85005801687,2592.02102168527,0.0683869645064274
"145","Garage.CondTA",0,23.7185360753588,0.285765038985191
"146","Paved.DriveUnpaved",0,-1667.02768456151,0.296500727141163
"147","Fence",0,49.243903363644,1.21412842257759
"148","Misc.Feature",1802.49186868557,1773.73817382473,0.1816758252297
"149","Misc.Val",0,0.0892487295843797,403.473604785856
"150","Mo.Sold",-0.746389785866796,-56.1297979639926,2.72473255343452
"151","Yr.Sold",-178.689888154302,-313.225026619544,1.31935430566569
"152","Sale.Typeother",0,-6729.32670412526,0.223973925243285
"153","Sale.TypeWD.",-317.52485981964,-7226.74998706813,0.34126205292312
"154","Sale.ConditionAdjLand",8471.13299142666,9655.9161404411,0.0683869645064274
"155","Sale.ConditionAlloca",8354.58881940389,8144.21068368492,0.0920347746598564
"156","Sale.ConditionFamily",0,-1207.30821800215,0.129595076711024
"157","Sale.ConditionNormal",6945.67796608891,6072.96959326297,0.381918550574287
"158","Sale.ConditionPartial",20799.1280605944,13247.4977972552,0.276980211323041
"159","Has.Alley1",-766.969786043199,-1402.92010347668,0.249398148936358
"160","Has.Basement",-34714.2511960508,-14417.7893969849,0.163069483128939
"161","Has.Fireplace",2605.06561891589,3799.05537369324,0.500060095370384
"162","Has.Garage",7302.72554614025,3189.65810204178,0.224824533447371
"163","Has.Pool",24072.251591671,28622.4218833947,0.0583581165644815
"164","Has.Wood.Deck",995.71408025579,1392.22863265686,0.499800146903647
"165","Has.Open.Porch",-187.974259063712,83.137057761224,0.497604254306951
"166","Has.Enclosed.Porch",0,47.6582159717407,0.36797853785605
"167","Has.X3Ssn.Porch",3366.47680310412,4700.63613667239,0.110609559590863
"168","Has.Screen.Porch",7138.93284828015,7344.29526806615,0.285150684581352
